# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.load.module.ms,1747108110963000000,1747108121699000000,0
workspaceModel.global.apply.state.to.project.ms,1747108110963000000,1747108121699000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747108110963000000,1747108121699000000,0
workspaceModel.load.cache.from.file.ms,1747108110963000000,1747108121699000000,0
jps.save.global.entities.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747108110963000000,1747108121699000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747108110963000000,1747108121699000000,0
jps.load.initial.state.ms,1747108110963000000,1747108121699000000,3
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747108110963000000,1747108121699000000,0
jps.library.entities.serializer.save.entities.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747108110963000000,1747108121699000000,0
jps.global.initialize.library.bridges.after.loading.ms,1747108110963000000,1747108121699000000,0
workspaceModel.save.cache.to.file.ms,1747108110963000000,1747108121699000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1747108110963000000,1747108121699000000,0
workspaceModel.global.updates.ms,1747108110963000000,1747108121699000000,0
jps.global.get.libraries.ms,1747108110963000000,1747108121699000000,8
jps.global.handle.changed.events.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747108110963000000,1747108121699000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747108110963000000,1747108121699000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1747108110963000000,1747108121699000000,0
jps.global.get.library.by.name.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747108110963000000,1747108121699000000,0
jps.global.get.library.ms,1747108110963000000,1747108121699000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747108110963000000,1747108121699000000,0
workspaceModel.sync.entities.ms,1747108110963000000,1747108121699000000,0
jps.global.handle.before.change.events.ms,1747108110963000000,1747108121699000000,0
jps.global.initialize.library.bridges.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747108110963000000,1747108121699000000,0
jps.app.storage.content.reader.load.component.ms,1747108110963000000,1747108121699000000,1
workspaceModel.load.cache.metadata.from.file.ms,1747108110963000000,1747108121699000000,0
workspaceModel.global.updates.count,1747108110963000000,1747108121699000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747108110963000000,1747108121699000000,0
jps.library.entities.serializer.load.entities.ms,1747108110963000000,1747108121699000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1747108110963000000,1747108121699000000,1
